Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
PARALiA-Sequential,24576,24576,24576,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.1063277,279219.7127945,4.0,0.0,1.0,2.0,272.6755007758789,"Square
( M = N = K )"
PARALiA-Sequential,28672,28672,28672,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.3357131,140422.5954939,4.0,0.0,1.0,2.0,137.13144091201173,"Square
( M = N = K )"
PARALiA-Sequential,28672,28672,28672,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.1674197,281606.3384178,4.0,0.0,1.0,2.0,275.00618986113284,"Square
( M = N = K )"
PARALiA-Sequential,32768,32768,32768,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.49998309999999996,140750.681255,4.0,0.0,1.0,2.0,137.45183716308594,"Square
( M = N = K )"
PARALiA-Sequential,32768,32768,32768,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.2488909,282730.8379794,4.0,0.0,1.0,2.0,276.1043339642578,"Square
( M = N = K )"
PARALiA-Sequential,36864,36864,36864,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.7029044,142548.2815794,4.0,0.0,1.0,2.0,139.20730622988282,"Square
( M = N = K )"
PARALiA-Sequential,36864,36864,36864,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.3464956,289162.6178157,4.0,0.0,1.0,2.0,282.38536896064454,"Square
( M = N = K )"
PARALiA-Sequential,40960,40960,40960,8,devices,,,2.0,1.0,2.0,0.0,,0.0,0.9708003,141574.194682,4.0,0.0,1.0,2.0,138.25604949414063,"Square
( M = N = K )"
PARALiA-Sequential,40960,40960,40960,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.5214907,263634.6692035,4.0,0.0,1.0,2.0,257.45573164404294,"Square
( M = N = K )"
PARALiA-Sequential,45056,45056,45056,8,devices,,,2.0,1.0,2.0,0.0,,0.0,1.2901227,141794.2087081,4.0,0.0,1.0,2.0,138.4709069415039,"Square
( M = N = K )"
PARALiA-Sequential,45056,45056,45056,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.6472119000000001,282665.63304610003,4.0,0.0,1.0,2.0,276.04065727158206,"Square
( M = N = K )"
PARALiA-Sequential,49152,49152,49152,8,devices,,,2.0,1.0,2.0,0.0,,0.0,1.6550132999999998,143505.1316426,4.0,0.0,1.0,2.0,140.14173011972656,"Square
( M = N = K )"
PARALiA-Sequential,49152,49152,49152,16,devices,,,2.0,2.0,4.0,0.0,,0.0,0.8382365,283336.25696669996,4.0,0.0,1.0,2.0,276.69556344404293,"Square
( M = N = K )"
PARALiA-Sequential,53248,53248,53248,8,devices,,,2.0,1.0,2.0,0.0,,0.0,2.1277971,141911.55879019998,4.0,0.0,1.0,2.0,138.58550663105467,"Square
( M = N = K )"
PARALiA-Sequential,53248,53248,53248,16,devices,,,2.0,2.0,4.0,0.0,,0.0,1.0607599,284667.1635881,4.0,0.0,1.0,2.0,277.9952769415039,"Square
( M = N = K )"
PARALiA-Sequential,57344,57344,57344,8,devices,,,2.0,1.0,2.0,0.0,,0.0,2.6573756,141920.5655941,4.0,0.0,1.0,2.0,138.59430233798827,"Square
( M = N = K )"
PARALiA-Sequential,57344,57344,57344,16,devices,,,2.0,2.0,4.0,0.0,,0.0,1.322589,285155.230343,4.0,0.0,1.0,2.0,278.4719046318359,"Square
( M = N = K )"
PARALiA-Sequential,61440,61440,61440,16,devices,,,2.0,2.0,4.0,0.0,,0.0,1.6434138,282261.7045249,4.0,0.0,1.0,2.0,275.64619582509766,"Square
( M = N = K )"
PARALiA-Sequential,65536,65536,65536,16,devices,,,2.0,2.0,4.0,0.0,,0.0,1.9716546999999998,285526.8171991,4.0,0.0,1.0,2.0,278.8347824209961,"Square
( M = N = K )"
SLATE,4096,4096,4096,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.611556,,0.0390364,0.092474,1639.1659624,2.0,,,,1.60074801015625,"Square
( M = N = K )"
SLATE,4096,4096,4096,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.759504,,0.0425783,0.0789065,1891.6100536999998,2.0,,,,1.847275443066406,"Square
( M = N = K )"
SLATE,4096,4096,4096,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.761201,,0.0329129,0.060648900000000006,2759.459232,2.0,,,,2.69478440625,"Square
( M = N = K )"
SLATE,4096,4096,4096,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.785499,,0.0314283,0.04943959999999999,3684.4242337000005,2.0,,,,3.5980705407226568,"Square
( M = N = K )"
SLATE,5120,5120,5120,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.389026,,0.05559119999999999,0.1333618,2017.1166814,2.0,,,,1.9698405091796876,"Square
( M = N = K )"
SLATE,5120,5120,5120,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.9206179999999999,,0.058080200000000005,0.11688590000000001,2577.4979988,2.0,,,,2.517087889453125,"Square
( M = N = K )"
