Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,DataLocation
cuBLASMp,16384,16384,16384,2048,2048,4,2,2,8,0.000001,0.085508,0.000000,0.519445,16933.650793,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.658562,26086.928320,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.780413,22013.818351,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.638756,26895.828022,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.576505,29800.014335,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.690824,24868.649947,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.880462,19512.340604,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.598482,28705.734692,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.622213,27610.907377,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.742692,23131.893860,devices
cuBLASMp,20480,20480,20480,2048,2048,4,2,2,8,0.000001,0.139756,0.000000,0.645930,26597.101471,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.868476,34182.662365,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.663479,44744.143435,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.684632,43361.712235,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.882613,33635.126483,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.881084,33693.527480,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.999278,29708.275000,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.659695,45000.835523,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,1.006792,29486.554687,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.724932,40951.155667,devices
cuBLASMp,24576,24576,24576,2048,2048,4,2,2,8,0.000001,0.167069,0.000000,0.921793,32205.520076,devices
cuBLASMp,65536,65536,65536,2048,2048,4,4,4,16,0.000001,0.588549,0.000000,8.587888,65551.617826,devices
cuBLASMp,65536,65536,65536,2048,2048,4,4,4,16,0.000001,0.588549,0.000002,8.284485,67952.316344,devices
cuBLASMp,65536,65536,65536,2048,2048,4,4,4,16,0.000001,0.588549,0.000000,8.009955,70281.289049,devices
cuBLASMp,65536,65536,65536,2048,2048,4,4,4,16,0.000001,0.588549,0.000000,8.282528,67968.373827,devices
cuBLASMp,65536,65536,65536,2048,2048,4,4,4,16,0.000001,0.588549,0.000000,8.524713,66037.409935,devices
cuBLASMp,65536,65536,65536,2048,2048,4,4,4,16,0.000001,0.588549,0.000000,8.382210,67160.083294,devices
