Algo,M,N,K,TotalGPUs,ExecutionTime,GFlops,ALoc,BLoc,CLoc
PARALiA,10240,10240,10240,4,0.038848,55279.239320,0,1,2
PARALiA,10240,10240,10240,4,0.038822,55316.243558,0,1,2
PARALiA,10240,10240,10240,4,0.038827,55309.110448,0,1,2
PARALiA,10240,10240,10240,4,0.038823,55314.545031,0,1,2
PARALiA,10240,10240,10240,4,0.038818,55322.019327,0,1,2
PARALiA,10240,10240,10240,4,0.038840,55290.437211,0,1,2
PARALiA,10240,10240,10240,4,0.036606,58665.063925,0,1,2
PARALiA,10240,10240,10240,4,0.031133,68977.870094,0,1,2
PARALiA,10240,10240,10240,4,0.031164,68909.267428,0,1,2
PARALiA,10240,10240,10240,4,0.031628,67897.897260,0,1,2
PARALiA,10240,10240,10240,4,0.031655,67840.621034,0,1,2
PARALiA,10240,10240,10240,4,0.031745,67648.025166,0,1,2
PARALiA,10240,10240,10240,4,0.031655,67840.110075,0,1,2
PARALiA,10240,10240,10240,4,0.031665,67818.656718,0,1,2
PARALiA,10240,10240,10240,4,0.031685,67775.790686,0,1,2
PARALiA,10240,10240,10240,4,0.031664,67821.209978,0,1,2
PARALiA,10240,10240,10240,4,0.031733,67673.438029,0,1,2
PARALiA,10240,10240,10240,4,0.031683,67780.380883,0,1,2
PARALiA,10240,10240,10240,4,0.031693,67758.965281,0,1,2
PARALiA,10240,10240,10240,4,0.031647,67857.487021,0,1,2
PARALiA,10240,10240,10240,4,0.031795,67542.005705,0,1,2
PARALiA,10240,10240,10240,4,0.031656,67838.066313,0,1,2
PARALiA,10240,10240,10240,4,0.031702,67739.600917,0,1,2
PARALiA,10240,10240,10240,4,0.031684,67778.340718,0,1,2
PARALiA,10240,10240,10240,4,0.031779,67575.449616,0,1,2
PARALiA,10240,10240,10240,4,0.031732,67675.471883,0,1,2
PARALiA,10240,10240,10240,4,0.031639,67874.872872,0,1,2
PARALiA,10240,10240,10240,4,0.031697,67750.300907,0,1,2
PARALiA,10240,10240,10240,4,0.031689,67767.631870,0,1,2
PARALiA,10240,10240,10240,4,0.031733,67673.438029,0,1,2
PARALiA,10240,10240,10240,4,0.031753,67630.755318,0,1,2
PARALiA,10240,10240,10240,4,0.031916,67285.692711,0,1,2
PARALiA,10240,10240,10240,4,0.031917,67283.179613,0,1,2
PARALiA,10240,10240,10240,4,0.031724,67692.764578,0,1,2
PARALiA,10240,10240,10240,4,0.032111,66876.535110,0,1,2
PARALiA,10240,10240,10240,4,0.032687,65698.025199,0,1,2
PARALiA,10240,10240,10240,4,0.032673,65726.789658,0,1,2
PARALiA,10240,10240,10240,4,0.032429,66221.128644,0,1,2
PARALiA,10240,10240,10240,4,0.032220,66650.381859,0,1,2
PARALiA,10240,10240,10240,4,0.032019,67069.251396,0,1,2
PARALiA,10240,10240,10240,4,0.031976,67159.265826,0,1,2
PARALiA,10240,10240,10240,4,0.032009,67090.233174,0,1,2
PARALiA,10240,10240,10240,4,0.031777,67580.012715,0,1,2
PARALiA,10240,10240,10240,4,0.031956,67201.355299,0,1,2
PARALiA,10240,10240,10240,4,0.031935,67245.003619,0,1,2
PARALiA,10240,10240,10240,4,0.031772,67590.662345,0,1,2
PARALiA,10240,10240,10240,4,0.031750,67637.357454,0,1,2
PARALiA,10240,10240,10240,4,0.031825,67477.744559,0,1,2
PARALiA,11264,11264,11264,4,0.050726,56347.914119,0,1,2
PARALiA,11264,11264,11264,4,0.050724,56350.032940,0,1,2
PARALiA,11264,11264,11264,4,0.050706,56370.169686,0,1,2
PARALiA,11264,11264,11264,4,0.050723,56351.092410,0,1,2
PARALiA,11264,11264,11264,4,0.050706,56370.169686,0,1,2
PARALiA,11264,11264,11264,4,0.049509,57732.895789,0,1,2
PARALiA,11264,11264,11264,4,0.040808,70042.721228,0,1,2
PARALiA,11264,11264,11264,4,0.041188,69396.441250,0,1,2
PARALiA,11264,11264,11264,4,0.041566,68765.528324,0,1,2
PARALiA,11264,11264,11264,4,0.041516,68848.063860,0,1,2
PARALiA,11264,11264,11264,4,0.041551,68790.386615,0,1,2
PARALiA,11264,11264,11264,4,0.041565,68767.106094,0,1,2
PARALiA,11264,11264,11264,4,0.041560,68775.390575,0,1,2
PARALiA,11264,11264,11264,4,0.041560,68775.390575,0,1,2
PARALiA,11264,11264,11264,4,0.041584,68735.564444,0,1,2
PARALiA,11264,11264,11264,4,0.041605,68700.902031,0,1,2
PARALiA,11264,11264,11264,4,0.041544,68801.835361,0,1,2
PARALiA,11264,11264,11264,4,0.041581,68740.687993,0,1,2
PARALiA,11264,11264,11264,4,0.041570,68758.823609,0,1,2
PARALiA,11264,11264,11264,4,0.041570,68758.823609,0,1,2
PARALiA,11264,11264,11264,4,0.041538,68811.708030,0,1,2
PARALiA,11264,11264,11264,4,0.041547,68797.097487,0,1,2
PARALiA,11264,11264,11264,4,0.041585,68733.988121,0,1,2
PARALiA,11264,11264,11264,4,0.041748,68465.495980,0,1,2
PARALiA,11264,11264,11264,4,0.041667,68598.694285,0,1,2
PARALiA,11264,11264,11264,4,0.041653,68621.860897,0,1,2
PARALiA,11264,11264,11264,4,0.041669,68595.554254,0,1,2
PARALiA,11264,11264,11264,4,0.042033,68001.419226,0,1,2
PARALiA,11264,11264,11264,4,0.042155,67804.504290,0,1,2
PARALiA,11264,11264,11264,4,0.042461,67316.036520,0,1,2
PARALiA,11264,11264,11264,4,0.042405,67404.600293,0,1,2
PARALiA,11264,11264,11264,4,0.042435,67356.883171,0,1,2
PARALiA,11264,11264,11264,4,0.042165,67788.401712,0,1,2
PARALiA,11264,11264,11264,4,0.041962,68116.170317,0,1,2
PARALiA,11264,11264,11264,4,0.041984,68080.583143,0,1,2
PARALiA,11264,11264,11264,4,0.042001,68053.144541,0,1,2
PARALiA,11264,11264,11264,4,0.041999,68056.621450,0,1,2
PARALiA,11264,11264,11264,4,0.041983,68082.516273,0,1,2
PARALiA,11264,11264,11264,4,0.041986,68077.490364,0,1,2
PARALiA,11264,11264,11264,4,0.041785,68404.944728,0,1,2
PARALiA,11264,11264,11264,4,0.041765,68437.746300,0,1,2
PARALiA,11264,11264,11264,4,0.041804,68374.124309,0,1,2
PARALiA,11264,11264,11264,4,0.041821,68346.058994,0,1,2
PARALiA,11264,11264,11264,4,0.041779,68414.703814,0,1,2
PARALiA,11264,11264,11264,4,0.041968,68106.883120,0,1,2
PARALiA,11264,11264,11264,4,0.041966,68109.978571,0,1,2
PARALiA,11264,11264,11264,4,0.041939,68153.731890,0,1,2
PARALiA,11264,11264,11264,4,0.041963,68114.622275,0,1,2
PARALiA,11264,11264,11264,4,0.041983,68082.129639,0,1,2
PARALiA,12288,12288,12288,4,0.064885,57191.088350,0,1,2
PARALiA,12288,12288,12288,4,0.064870,57204.540922,0,1,2
PARALiA,12288,12288,12288,4,0.062982,58919.165647,0,1,2
PARALiA,12288,12288,12288,4,0.051741,71719.912782,0,1,2
PARALiA,12288,12288,12288,4,0.052330,70912.488665,0,1,2
PARALiA,12288,12288,12288,4,0.052773,70317.242291,0,1,2
PARALiA,12288,12288,12288,4,0.052749,70349.024670,0,1,2
PARALiA,12288,12288,12288,4,0.052767,70325.185193,0,1,2
PARALiA,12288,12288,12288,4,0.052762,70331.858618,0,1,2
PARALiA,12288,12288,12288,4,0.052645,70488.251440,0,1,2
PARALiA,12288,12288,12288,4,0.052795,70288.027855,0,1,2
PARALiA,12288,12288,12288,4,0.052762,70331.858618,0,1,2
