Algo,M,N,K,TileRows,TileColumns,dRow,dCol,TotalNodes,TotalGPUs,DecompositionTime,ExecutionTime,GatherTime,GFlops,DataLocation
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.643702,0.381948,7329.517598,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.663596,0.383000,7109.779505,devices
SLATE,13312,13312,13312,1024,1024,2,2,1,4,0.046155,0.697986,0.381387,6759.482458,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,1.349298,0.619090,4367.229539,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.850834,0.453743,6925.784514,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.768812,0.449198,7664.674943,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.745092,0.448665,7908.683883,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.734722,0.449547,8020.309823,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.748707,0.448892,7870.493335,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.793352,0.451497,7427.592513,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.751796,0.448093,7838.161956,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.745649,0.450252,7902.775318,devices
SLATE,14336,14336,14336,1024,1024,2,2,1,4,0.049224,0.748675,0.508376,7870.837002,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,1.857425,0.733642,3902.045007,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.992274,0.510347,7304.189237,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.949209,0.509395,7635.579810,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.927918,0.507963,7810.772350,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.919845,0.510240,7879.327237,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.924324,0.526755,7841.146460,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,1.409046,0.516401,5143.735353,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.933522,0.508854,7763.884375,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.898533,0.507845,8066.211533,devices
SLATE,15360,15360,15360,1024,1024,2,2,1,4,0.640062,0.926738,0.509176,7820.720679,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,1.924401,0.802611,4570.820483,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,1.098384,0.588004,8008.212572,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,1.020904,0.583744,8615.986964,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,0.988507,0.581563,8898.361706,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,0.967731,0.587038,9089.403313,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,1.598454,0.595733,5502.873770,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,0.963497,0.590383,9129.337978,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,0.975812,0.581405,9014.128207,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,0.963766,0.583136,9126.788703,devices
SLATE,16384,16384,16384,1024,1024,2,2,1,4,0.170860,0.985537,0.581805,8925.177281,devices
SLATE,20480,20480,20480,1024,1024,2,2,1,4,0.190388,3.054687,1.265275,5624.101885,devices
SLATE,20480,20480,20480,1024,1024,2,2,1,4,0.190388,1.899387,0.922788,9044.953558,devices
SLATE,20480,20480,20480,1024,1024,2,2,1,4,0.190388,1.602594,0.921895,10720.038879,devices
SLATE,20480,20480,20480,1024,1024,2,2,1,4,0.190388,1.504623,0.915018,11418.057678,devices
