Algo,M,N,K,TotalGPUs,DataLocation,TileRows,TileColumns,dRow,dCol,TotalNodes,DecompositionTime,HostToDeviceTime,GatherTime,ExecutionTime,GFlops,PlotOrder,ALoc,BLoc,CLoc,Performance (Tflops),shape
SLATE,20480,20480,5120,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.761691,,0.9805311,0.5147375000000001,8377.1654712,2.0,,,,8.18082565546875,"Fat-thin
( M = N >> K )"
SLATE,20480,20480,5120,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.752126,,0.7544982,0.476752,9267.4536785,2.0,,,,9.050247732910156,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,1536,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.45618300000000006,,2.0624016000000003,0.34666800000000003,5375.8262012,2.0,,,,5.249830274609375,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,1536,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.762551,,1.947091,0.2690436,6926.577016100001,2.0,,,,6.764235367285157,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,1536,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.763617,,1.4994947,0.2325768,8028.5947674,2.0,,,,7.840424577539062,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,1536,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.772239,,1.3181623,0.1798811,10579.2911457,2.0,,,,10.331339009472655,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,3072,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.48412,,1.3663905,0.3165542,14183.5208455,2.0,,,,13.851094575683593,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,3072,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.782292,,1.5474264,0.4195938,9004.232757599999,2.0,,,,8.793196052343749,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,3072,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.774264,,1.3854973000000002,0.4596513,8083.076282200001,2.0,,,,7.893629181835938,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,3072,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.769751,,1.1064456,0.46827300000000005,8338.8634554,2.0,,,,8.143421343164063,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,6144,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.432602,,1.7888765,0.8192636,9152.6442551,2.0,,,,8.938129155371094,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,6144,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.8321799999999999,,1.6957105,0.9070725,8228.1275322,2.0,,,,8.035280793164063,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,6144,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.747747,,1.4431315000000002,0.8135939999999999,9131.7551874,2.0,,,,8.917729675195313,"Fat-thin
( M = N >> K )"
SLATE,24576,24576,6144,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.741516,,1.0865567,0.77164,9828.570227100001,2.0,,,,9.598213112402345,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,1792,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.58879,,2.8197631999999997,0.4891006,6130.4652485999995,2.0,,,,5.986782469335937,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,1792,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.769407,,2.6619547,0.3536588,8366.0724653,2.0,,,,8.169992641894531,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,1792,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.877721,,2.0924274,0.3007611,9858.211589499999,2.0,,,,9.627159755371093,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,1792,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.77034,,1.8899152999999997,0.23455049999999997,12764.4866364,2.0,,,,12.465318980859376,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,3584,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.511916,,2.4494261,0.7640111,7779.870602100001,2.0,,,,7.597529884863282,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,3584,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.8133589999999999,,2.3516101,0.7433677000000001,7940.398425900001,2.0,,,,7.7542953377929695,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,3584,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.760482,,1.9657453,0.6581341,8975.8706773,2.0,,,,8.76549870830078,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,3584,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.7977,,1.8297716999999998,0.46286000000000005,12801.7430336,2.0,,,,12.50170218125,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,7168,2,devices,1024.0,1024.0,2.0,1.0,1.0,0.48445400000000005,,2.4776014,1.1090714,10785.5605308,2.0,,,,10.532773955859374,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,7168,4,devices,1024.0,1024.0,2.0,2.0,1.0,0.762862,,2.3728313,1.1232710000000001,10499.9431143,2.0,,,,10.253850697558594,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,7168,8,devices,1024.0,1024.0,4.0,2.0,2.0,0.771264,,1.9641566000000001,1.0365221999999998,11377.4021844,2.0,,,,11.110744320703125,"Fat-thin
( M = N >> K )"
SLATE,28672,28672,7168,16,devices,1024.0,1024.0,4.0,4.0,4.0,0.786787,,1.8156172000000002,0.7560458999999999,15626.306937099998,2.0,,,,15.260065368261717,"Fat-thin
( M = N >> K )"
